2015-06-26,2334
2015-06-29,224
2015-06-30,465
2015-07-01,542
2015-07-02,394
2015-07-03,714
2015-07-04,930
2015-07-06,345
2015-07-07,9114
2015-07-08,107719
2015-07-09,142620
2015-07-10,167167
2015-07-12,21206
2015-07-13,3086
2015-07-14,32386
2015-07-16,240155
2015-07-17,196902
2015-07-18,208546
2015-07-18,244550
2015-07-19,134198
2015-07-20,79071
2015-07-21,82052
2015-07-22,215272
2015-07-22,220158
2015-07-23,167293
2015-07-24,215543
2015-07-25,207167
2015-07-25,207167
2015-07-25,209927
2015-07-26,207608
2015-07-26,213133
2015-07-27,32914
2015-07-27,32914
2015-07-28,27936
2015-07-28,41778
2015-07-29,58635
2015-07-30,202837
2015-07-30,213153
2015-07-30,213153
2015-07-30,213153
2015-07-31,369399
2015-08-01,184236
2015-08-01,186581
2015-08-02,183115
2015-08-02,183115
2015-08-02,183115
2015-08-03,20855
2015-08-03,77787
2015-08-04,68596
2015-08-04,68596
2015-08-04,69163
2015-08-05,107104
2015-08-05,107104
2015-08-06,148003
2015-08-07,189666
2015-08-08,182712
2015-08-09,56983
2015-08-10,81671
2015-08-10,101812
2015-08-11,125221
2015-08-12,367029
2015-08-12,367029
2015-08-13,339569
2015-08-14,114406
